timestamp,broker,symbol,swap_long,swap_short,direction_long,direction_short,swap_mode,contract_size
2026.02.04 06:59:08,IS6 Technologies Ltd,USDJPY.std,2.99354,-13.08127,Plus,Minus,Points,100000
2026.02.04 06:59:08,IS6 Technologies Ltd,EURJPY.std,-0.60089,-5.75570,Minus,Minus,Points,100000
2026.02.04 06:59:08,IS6 Technologies Ltd,GBPJPY.std,2.62542,-11.61017,Plus,Minus,Points,100000
2026.02.04 06:59:08,IS6 Technologies Ltd,AUDJPY.std,1.77241,-7.95241,Plus,Minus,Points,100000
2026.02.04 06:59:08,IS6 Technologies Ltd,NZDJPY.std,2.79911,-9.49709,Plus,Minus,Points,100000
2026.02.04 06:59:08,IS6 Technologies Ltd,CADJPY.std,5.15316,-10.21557,Plus,Minus,Points,100000
2026.02.04 06:59:08,IS6 Technologies Ltd,EURUSD.std,-7.46911,1.30291,Minus,Plus,Points,100000
2026.02.04 06:59:08,IS6 Technologies Ltd,EURGBP.std,-5.04481,0.27620,Minus,Plus,Points,100000
2026.02.04 06:59:08,IS6 Technologies Ltd,NZDUSD.std,-1.72030,-1.39424,Minus,Minus,Points,100000
2026.02.04 06:59:08,IS6 Technologies Ltd,XAUUSD.std,-18.88600,5.63200,Minus,Plus,Points,100
